39,13,7,9,4,1,1,39,4,1,2174,0,40,-1
50,13,6,9,2,4,0,39,4,1,0,0,13,-1
38,9,4,11,0,6,1,39,4,1,0,0,40,-1
53,7,4,1,2,6,0,39,2,1,0,0,40,-1
28,13,4,9,2,10,5,5,2,0,0,0,40,-1
37,14,4,12,2,4,5,39,4,0,0,0,40,-1
49,5,4,6,3,8,1,23,2,0,0,0,16,-1
52,9,6,11,2,4,0,39,4,1,0,0,45,1
31,14,4,12,4,10,1,39,4,0,14084,0,50,1
42,13,4,9,2,4,0,39,4,1,5178,0,40,1
37,10,4,15,2,4,0,39,2,1,0,0,80,1
30,13,7,9,2,10,0,19,1,1,0,0,40,1
23,13,4,9,4,1,3,39,4,0,0,0,30,-1
32,12,4,7,4,12,1,39,2,1,0,0,50,-1
40,11,4,8,2,3,0,0,1,1,0,0,40,1
34,4,4,5,2,14,0,26,0,1,0,0,45,-1
25,9,6,11,4,5,3,39,4,1,0,0,35,-1
32,9,4,11,4,7,4,39,4,1,0,0,40,-1
38,7,4,1,2,12,0,39,4,1,0,0,50,-1
43,14,6,12,0,4,4,39,4,0,0,0,45,1
40,16,4,10,2,10,0,39,4,1,0,0,60,1
54,9,4,11,5,8,4,39,2,0,0,0,20,-1
35,5,1,6,2,5,0,39,2,1,0,0,40,-1
43,7,4,1,2,14,0,39,4,1,0,2042,40,-1
59,9,4,11,0,13,4,39,4,0,0,0,40,-1
56,13,2,9,2,13,0,39,4,1,0,0,40,1
19,9,4,11,4,3,3,39,4,1,0,0,40,-1
54,10,0,15,2,0,0,35,1,1,0,0,60,1
39,9,4,11,0,4,1,39,4,1,0,0,80,-1
49,9,4,11,2,3,0,39,4,1,0,0,40,-1
23,12,2,7,4,11,1,39,4,1,0,0,52,-1
20,10,4,15,4,12,3,39,2,1,0,0,44,-1
45,13,4,9,0,4,3,39,4,1,0,1408,40,-1
30,10,1,15,2,1,3,39,4,1,0,0,40,-1
22,10,7,15,2,8,0,39,2,1,0,0,15,-1
48,7,4,1,4,7,4,33,4,1,0,0,40,-1
21,10,4,15,4,7,3,39,4,1,0,0,40,-1
19,9,4,11,1,1,5,39,4,0,0,0,25,-1
31,10,4,15,2,12,0,0,4,1,0,0,38,1
48,12,6,7,2,10,0,39,4,1,0,0,40,-1
31,5,4,6,2,7,0,39,4,1,0,0,43,-1
53,13,6,9,2,10,0,39,4,1,0,0,40,-1
24,13,4,9,2,13,0,39,4,1,0,0,50,-1
49,9,4,11,5,1,4,39,4,0,0,0,40,-1
25,9,4,11,4,6,1,39,4,1,0,0,35,-1
57,13,1,9,2,10,0,39,2,1,0,0,40,1
53,9,4,11,2,7,0,39,4,1,0,0,38,-1
44,14,4,12,0,4,4,39,4,0,0,0,40,-1
41,11,7,8,2,3,0,39,4,1,0,0,40,-1
29,11,4,8,4,10,1,39,4,1,0,0,43,-1
25,10,4,15,2,4,5,39,3,0,0,0,40,-1
18,9,4,11,4,8,3,0,4,0,0,0,30,-1
47,15,4,14,2,10,5,16,4,0,0,1902,60,1
50,13,1,9,0,4,1,39,4,1,0,0,55,1
47,9,5,11,0,4,1,39,4,1,0,0,60,-1
43,10,4,15,2,13,0,39,4,1,0,0,40,1
46,3,4,4,2,7,0,26,4,1,0,0,40,-1
35,11,4,8,2,8,0,33,4,1,0,0,40,-1
41,9,4,11,2,1,0,39,4,1,0,0,48,-1
30,9,4,11,2,7,0,39,4,1,5013,0,40,-1
30,13,4,9,2,12,0,39,4,1,2407,0,40,-1
32,4,0,5,3,0,1,0,4,1,0,0,40,-1
48,9,4,11,2,14,0,39,4,1,0,0,40,-1
42,16,4,10,2,10,0,39,4,1,0,0,45,1
29,10,4,15,0,13,1,39,4,1,0,0,58,-1
36,9,4,11,2,3,0,39,4,1,0,0,40,-1
28,10,4,15,0,1,1,39,4,0,0,0,40,-1
53,9,4,11,2,1,5,39,4,0,0,0,40,1
49,10,5,15,2,4,0,39,4,1,0,0,50,1
25,10,0,15,4,0,3,39,4,1,0,0,40,-1
19,10,4,15,4,10,3,39,4,1,0,0,32,-1
31,13,4,9,5,12,3,39,2,0,0,0,40,-1
29,13,6,9,2,12,0,39,4,1,0,0,70,1
